R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
77,Josh Giddey,"SG,SF",CHI,78,31,0.479(6.7/14.1),0.795(1.5/1.9),1.1,16.1,7.4,6.1,0.8,0.5,2.7,1.91
78,Mark Williams,C,CHA,55,26.8,0.641(5.1/8.0),0.704(2.3/3.2),0,12.6,9.7,0.8,0.9,1.2,1.1,1.9
79,Jalen Suggs,"PG,SG",ORL,72,30,0.465(5.0/10.7),0.758(1.8/2.4),2.2,14,3.5,3.6,1.6,0.7,2,1.89
80,Jabari Smith Jr.,"PF,C",HOU,78,32.2,0.463(5.0/10.8),0.824(2.1/2.6),1.9,14,8.4,1.5,0.8,0.9,1.3,1.88
81,Taylor Hendricks,"SF,PF",UTA,68,29.7,0.471(4.3/9.0),0.798(0.9/1.1),2,11.4,7,1.2,1.1,1.1,1,1.88
82,Bogdan Bogdanovic,"SG,SF",ATL,68,30.2,0.434(6.0/13.7),0.889(2.0/2.3),3.1,17.1,3.5,3.2,1.1,0.4,1.4,1.88
83,Paolo Banchero,"SF,PF",ORL,76,35.1,0.462(8.0/17.4),0.731(5.4/7.4),1.6,23.1,7.4,5.7,1,0.7,3,1.87
84,Austin Reaves,"PG,SG",LAL,72,32.6,0.482(5.2/10.8),0.859(3.4/3.9),2,15.7,4,5.1,0.8,0.3,2,1.85
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
85,Keegan Murray,"SF,PF",SAC,78,33.5,0.454(5.4/12.0),0.836(1.1/1.3),2.7,14.6,5.4,1.6,1,0.8,0.8,1.82
86,Onyeka Okongwu,"PF,C",ATL,67,26.8,0.617(4.0/6.6),0.785(2.0/2.6),0.5,10.6,7.6,1.3,0.7,1.3,1.1,1.76
87,OG Anunoby,"SF,PF",NY,60,33.1,0.480(5.8/12.0),0.770(1.3/1.7),2,14.8,4.1,2,1.5,0.7,1.8,1.71
88,Coby White,"PG,SG",CHI,76,35.5,0.446(6.5/14.6),0.843(2.3/2.7),2.7,18,4.6,4.9,0.9,0.2,2,1.68
89,Michael Porter Jr.,"SF,PF",DEN,74,31.8,0.485(6.6/13.6),0.818(1.4/1.7),2.9,17.5,6.5,1.4,0.6,0.6,1.2,1.68
90,Alex Caruso,"SG,SF",OKC,68,28.7,0.463(3.1/6.6),0.785(1.1/1.4),1.5,8.7,3.8,3.5,1.6,0.9,1.4,1.64
91,Herbert Jones,"SF,PF",NO,71,30.2,0.484(3.7/7.7),0.852(1.8/2.2),1.2,10.5,4.2,2.6,1.4,0.9,1.3,1.61
92,Daniel Gafford,"PF,C",DAL,75,24.5,0.729(4.3/5.9),0.675(1.7/2.5),0,10.3,6.8,1.4,0.7,1.7,1.1,1.61
93,Draymond Green,"PF,C",GS,58,27.3,0.514(3.3/6.3),0.713(1.0/1.4),0.7,8.2,6.9,6.2,1.1,0.8,2.5,1.58
94,Jakob Poeltl,C,TOR,68,26.8,0.640(5.4/8.4),0.575(1.5/2.6),0,12.2,9.1,2.7,0.9,1.4,1.7,1.49
95,Amen Thompson,"SG,SF",HOU,68,27.2,0.529(4.8/9.0),0.720(2.2/3.1),0.3,12,7.2,3.2,1.5,0.8,1.8,1.46
96,CJ McCollum,"PG,SG",NO,65,32,0.451(6.8/15.0),0.814(1.9/2.3),2.8,18.3,3.9,4.1,0.8,0.5,1.9,1.39
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
97,Cam Thomas,SG,BKN,69,32.1,0.440(9.1/20.7),0.861(4.7/5.5),2.6,25.6,3.3,2.9,0.7,0.3,2,1.36
98,Al Horford,"PF,C",BOS,63,27.4,0.493(3.7/7.4),0.791(0.3/0.4),2.1,9.8,6.7,3,0.6,1,0.7,1.36
99,Ivica Zubac,C,LAC,72,28.5,0.642(5.1/7.9),0.709(2.2/3.1),0,12.3,10.1,1.3,0.4,1.4,1.5,1.35
100,Khris Middleton,SF,MIL,62,28.1,0.482(6.2/12.9),0.867(2.3/2.6),1.7,16.4,4.4,4.7,0.8,0.2,2.4,1.34
101,Mike Conley,PG,MIN,72,29.1,0.442(3.9/8.7),0.885(1.7/1.9),2.2,11.6,2.8,6,1.1,0.2,1.4,1.3
102,Jonas Valanciunas,C,WAS,74,26.8,0.548(5.7/10.4),0.796(2.3/2.9),0.5,14.2,10.3,2.1,0.4,0.8,1.8,1.29
103,Brandon Miller,"SG,SF",CHA,74,33,0.445(6.7/15.1),0.837(2.1/2.5),2.6,18.1,4.4,2.5,1,0.6,1.9,1.24
104,Tyus Jones,PG,PHO,73,29.4,0.476(4.8/10.1),0.802(0.9/1.1),1.7,12.2,2.9,6.8,1.2,0.2,1.1,1.23
105,Brook Lopez,C,MIL,70,28.5,0.471(4.2/9.0),0.803(1.4/1.8),1.7,11.7,4.9,1.3,0.5,2,1,1.2
106,Jerami Grant,"SF,PF",POR,55,32.8,0.463(6.6/14.3),0.814(4.3/5.3),2.1,19.7,3.9,2.5,0.8,0.7,1.9,1.09
107,Kyle Kuzma,PF,WAS,69,32.1,0.456(8.3/18.1),0.773(2.8/3.6),2.3,21.6,6.9,4,0.5,0.6,2.8,1.07
108,Norman Powell,"SG,SF",LAC,69,31.8,0.482(6.5/13.4),0.821(3.3/4.1),2.6,18.8,3.4,1.7,0.8,0.4,1.5,0.92
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
109,Clint Capela,C,ATL,70,26,0.597(5.0/8.4),0.631(1.5/2.4),0,11.5,10.7,1.1,0.6,1.3,0.9,0.89
110,Trayce Jackson-Davis,"PF,C",GS,70,26.4,0.703(5.2/7.4),0.563(1.7/3.0),0,12.1,7.6,1.8,0.6,1.6,1.1,0.71
111,Jalen Green,"PG,SG",HOU,76,32,0.429(7.0/16.4),0.807(4.0/5.0),2.4,20.5,4.9,3.7,0.9,0.3,2.4,0.68
112,Naz Reid,"PF,C",MIN,77,27.1,0.472(5.5/11.7),0.735(1.6/2.2),2,14.7,6.2,1.5,0.9,1,1.7,0.67
113,Julius Randle,PF,MIN,68,32.4,0.477(7.3/15.3),0.780(4.2/5.4),1.4,20.3,8.5,3.9,0.5,0.2,2.6,0.64
114,Donte DiVincenzo,"SG,SF",MIN,73,27.3,0.444(4.5/10.1),0.786(0.9/1.2),2.7,12.7,3.9,3,1.3,0.3,1.4,0.64
115,John Collins,"PF,C",UTA,67,27.2,0.520(5.3/10.2),0.796(2.0/2.6),1.1,13.7,7.3,1.1,0.6,0.9,1.2,0.62
116,Chris Paul,PG,SA,58,26.4,0.441(3.8/8.6),0.831(1.3/1.6),1.3,10.2,3.6,6.9,1.2,0.2,1.4,0.56
117,Jusuf Nurkic,C,PHO,68,27.5,0.514(4.7/9.1),0.647(2.4/3.6),0.5,12.2,10.5,3.6,1,1,2.4,0.54
118,Cameron Johnson,"SF,PF",BKN,60,28.6,0.457(5.2/11.3),0.818(1.9/2.4),2.5,14.7,4.5,2.2,1,0.3,1,0.51
119,Terry Rozier,PG,MIA,68,31.6,0.435(6.5/15.0),0.842(2.4/2.9),2.2,17.7,3.5,4.5,1,0.3,1.7,0.46
120,De'Anthony Melton,"PG,SG",GS,68,25.3,0.420(3.5/8.3),0.819(1.1/1.4),2,10.1,3.8,2.6,1.6,0.5,1.2,0.26
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
121,Keon Ellis,"SG,SF",SAC,68,26.4,0.461(2.9/6.2),0.735(0.8/1.0),1.9,8.4,3.3,2.3,1.4,0.8,1,0.17
122,Brandin Podziemski,SG,GS,74,29.5,0.459(4.4/9.7),0.664(0.9/1.3),1.5,11.2,6.9,4.4,1.2,0.2,1.4,0.14
123,Dennis Schröder,PG,BKN,70,31,0.435(5.2/12.0),0.847(2.9/3.5),1.7,15.1,3,5.9,0.8,0.2,2,0.09
124,Jonathan Kuminga,PF,GS,72,28.6,0.527(6.2/11.7),0.759(2.9/3.8),0.9,16.2,5.1,2.5,0.8,0.6,1.9,0.05
125,Marcus Smart,"PG,SG",MEM,65,31,0.420(4.3/10.3),0.751(1.6/2.1),1.9,12.1,3,4.7,1.6,0.3,2.5,0
126,Jalen Smith,"PF,C",CHI,64,25,0.537(5.0/9.2),0.711(1.7/2.4),1.3,12.9,7.6,1.3,0.4,1,1.2,-0.01
127,Corey Kispert,"SG,SF",WAS,77,31,0.484(5.4/11.1),0.821(1.7/2.0),2.7,15.1,3.4,2.4,0.7,0.2,1.2,-0.03
128,Buddy Hield,"SG,SF",GS,78,27.8,0.445(4.8/10.7),0.835(0.9/1.1),2.7,13.2,3.8,2.7,0.9,0.4,1.4,-0.07
129,Klay Thompson,"SG,SF",DAL,70,29.4,0.434(6.2/14.3),0.901(1.5/1.6),3.4,17.2,3.2,2,0.6,0.4,1.4,-0.09
130,Grayson Allen,"PG,SG",PHO,73,27.4,0.485(3.9/8.0),0.893(1.5/1.7),2.2,11.4,3.3,2.4,0.8,0.4,1,-0.11
131,Terance Mann,"SG,SF",LAC,76,29,0.513(5.0/9.8),0.806(1.5/1.9),1.3,12.9,4.8,2.7,0.8,0.4,1.1,-0.12
132,Bobby Portis,"PF,C",MIL,74,25.2,0.502(5.8/11.5),0.777(1.3/1.7),1.3,14.1,8.3,1.4,0.7,0.3,1.1,-0.17
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
133,Keyonte George,"PG,SG",UTA,73,31.6,0.422(5.4/12.9),0.851(3.0/3.5),2.4,16.3,3.3,5.2,0.6,0.2,2.6,-0.19
134,Alexandre Sarr,PF,WAS,69,29.9,0.448(4.5/10.0),0.711(2.4/3.4),0.9,12.2,6.4,1.3,0.8,1.9,1.3,-0.25
135,Kentavious Caldwell-Pope,"SG,SF",ORL,76,30.1,0.461(3.6/7.8),0.861(1.3/1.5),1.7,10.1,2.5,2.3,1.3,0.5,1,-0.25
136,Jaden Ivey,"PG,SG",DET,76,30,0.435(6.4/14.8),0.759(3.3/4.4),2.2,18.4,3.7,4.6,0.8,0.6,2.7,-0.29
137,RJ Barrett,"SF,PF",TOR,72,33.5,0.482(7.9/16.3),0.726(3.9/5.4),1.6,21.2,6.4,3.8,0.6,0.4,2.3,-0.3
138,P.J. Washington,PF,DAL,73,31.2,0.431(4.5/10.5),0.706(1.5/2.1),1.9,12.4,5.5,2.1,1.1,0.9,1.4,-0.36
139,Malik Monk,"SG,SF",SAC,74,25.8,0.446(5.1/11.4),0.860(2.4/2.8),2,14.5,2.8,4.5,0.6,0.4,2,-0.41
140,Ausar Thompson,"SF,PF",DET,69,28.1,0.493(4.4/9.0),0.624(1.3/2.1),0.4,10.6,7.2,2.2,1.2,1.1,1.5,-0.48
141,Rui Hachimura,"SF,PF",LAL,66,29.2,0.514(5.8/11.3),0.740(1.7/2.3),1.5,14.8,5.2,1.3,0.7,0.5,0.9,-0.56
142,Josh Hart,"SF,PF",NY,76,32.2,0.457(3.4/7.5),0.765(1.4/1.8),0.9,9.1,7.9,3.9,1,0.3,1.7,-0.57
143,Wendell Carter Jr.,C,ORL,58,27.1,0.525(4.8/9.2),0.722(2.1/2.9),1.3,13,7.7,2,0.6,0.5,1.5,-0.62
144,Jeremy Sochan,"SF,PF",SA,72,31.2,0.444(4.9/11.0),0.770(1.7/2.2),1,12.4,6.8,3.2,1,0.6,2,-0.66
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
145,Aaron Nesmith,"SF,PF",IND,72,28.7,0.477(4.2/8.8),0.796(1.6/2.0),1.9,11.9,4.1,1.5,0.9,0.6,1,-0.68
146,Brandon Clarke,"PF,C",MEM,60,22.5,0.642(4.8/7.4),0.695(1.8/2.6),0,11.4,6.2,1.5,0.7,0.8,1.1,-0.71
147,Marvin Bagley III,"PF,C",WAS,55,25.4,0.558(5.5/9.8),0.755(2.2/2.9),0.3,13.4,7.2,1.1,0.5,0.8,1.3,-0.72
148,Kelly Olynyk,C,TOR,69,22.4,0.526(3.3/6.3),0.834(2.0/2.4),0.9,9.6,5,3.4,0.8,0.4,1.9,-0.73
149,Bilal Coulibaly,"SG,SF",WAS,68,30.2,0.441(4.0/9.0),0.706(1.9/2.7),1.3,11.2,5.3,2.3,1.2,1,1.8,-0.77
